COU,Inventor country,Technology domain,Year,Value
CAN,Canada,Environment-related technologies,2015,658.23
CAN,Canada,Environment-related technologies,2016,664.19
CAN,Canada,Environment-related technologies,2017,753.81
CAN,Canada,Environment-related technologies,2018,699.87
CAN,Canada,Environment-related technologies,2019,705.68
CAN,Canada,Air pollution abatement,1995,35.5
CAN,Canada,Air pollution abatement,2000,69.67
CAN,Canada,Air pollution abatement,2005,88.5
CAN,Canada,Air pollution abatement,2010,94.04
CAN,Canada,Air pollution abatement,2011,78.33
CAN,Canada,Air pollution abatement,2012,89.07
CAN,Canada,Air pollution abatement,2013,93.57
CAN,Canada,Air pollution abatement,2014,108.63
CAN,Canada,Air pollution abatement,2015,78.0
CAN,Canada,Air pollution abatement,2016,82.12
CAN,Canada,Air pollution abatement,2017,75.5
CAN,Canada,Air pollution abatement,2018,94.5
CAN,Canada,Air pollution abatement,2019,66.0
CZE,Czech Republic,Environment-related technologies,1995,9.33
CZE,Czech Republic,Environment-related technologies,2000,12.17
CZE,Czech Republic,Environment-related technologies,2005,23.33
CZE,Czech Republic,Environment-related technologies,2010,43.48
CZE,Czech Republic,Environment-related technologies,2011,50.07
CZE,Czech Republic,Environment-related technologies,2012,45.67
CZE,Czech Republic,Environment-related technologies,2013,55.75
CZE,Czech Republic,Environment-related technologies,2014,51.67
CZE,Czech Republic,Environment-related technologies,2015,43.75
CZE,Czech Republic,Environment-related technologies,2016,65.58
CZE,Czech Republic,Environment-related technologies,2017,63.89
CZE,Czech Republic,Environment-related technologies,2018,59.14
CZE,Czech Republic,Environment-related technologies,2019,53.1
CZE,Czech Republic,Air pollution abatement,1995,1.0
CZE,Czech Republic,Air pollution abatement,2000,0.83
CZE,Czech Republic,Air pollution abatement,2005,5.83
CZE,Czech Republic,Air pollution abatement,2010,6.83
CZE,Czech Republic,Air pollution abatement,2011,8.0
CZE,Czech Republic,Air pollution abatement,2012,5.5
CZE,Czech Republic,Air pollution abatement,2013,8.67
CZE,Czech Republic,Air pollution abatement,2014,11.17
CZE,Czech Republic,Air pollution abatement,2015,9.83
CZE,Czech Republic,Air pollution abatement,2016,15.92
CZE,Czech Republic,Air pollution abatement,2017,19.5
CZE,Czech Republic,Air pollution abatement,2018,23.0
CZE,Czech Republic,Air pollution abatement,2019,6.5
DNK,Denmark,Environment-related technologies,1995,62.5
DNK,Denmark,Environment-related technologies,2000,103.83
DNK,Denmark,Environment-related technologies,2005,180.87
DNK,Denmark,Environment-related technologies,2010,465.15
DNK,Denmark,Environment-related technologies,2011,506.37
DNK,Denmark,Environment-related technologies,2012,422.43
DNK,Denmark,Environment-related technologies,2013,344.22
DNK,Denmark,Environment-related technologies,2014,360.57
DNK,Denmark,Environment-related technologies,2015,326.86
DNK,Denmark,Environment-related technologies,2016,424.83
DNK,Denmark,Environment-related technologies,2017,379.5
DNK,Denmark,Environment-related technologies,2018,432.42
DNK,Denmark,Environment-related technologies,2019,401.42
DNK,Denmark,Air pollution abatement,1995,13.5
DNK,Denmark,Air pollution abatement,2000,17.0
DNK,Denmark,Air pollution abatement,2005,22.37
DNK,Denmark,Air pollution abatement,2010,68.98
DNK,Denmark,Air pollution abatement,2011,25.42
DNK,Denmark,Air pollution abatement,2012,39.17
DNK,Denmark,Air pollution abatement,2013,37.0
DNK,Denmark,Air pollution abatement,2014,72.67
DNK,Denmark,Air pollution abatement,2015,36.58
DNK,Denmark,Air pollution abatement,2016,45.5
DNK,Denmark,Air pollution abatement,2017,35.67
DNK,Denmark,Air pollution abatement,2018,32.0
DNK,Denmark,Air pollution abatement,2019,33.83
FIN,Finland,Environment-related technologies,1995,75.42
FIN,Finland,Environment-related technologies,2000,105.58
FIN,Finland,Environment-related technologies,2005,159.33
FIN,Finland,Environment-related technologies,2010,257.02
FIN,Finland,Environment-related technologies,2011,307.02
FIN,Finland,Environment-related technologies,2012,310.39
FIN,Finland,Environment-related technologies,2013,263.33
FIN,Finland,Environment-related technologies,2014,240.58
FIN,Finland,Environment-related technologies,2015,206.15
FIN,Finland,Environment-related technologies,2016,210.63
FIN,Finland,Environment-related technologies,2017,223.28
FIN,Finland,Environment-related technologies,2018,214.4
FIN,Finland,Environment-related technologies,2019,207.98
FIN,Finland,Air pollution abatement,1995,11.0
FIN,Finland,Air pollution abatement,2000,23.0
FIN,Finland,Air pollution abatement,2005,26.5
FIN,Finland,Air pollution abatement,2010,49.33
FIN,Finland,Air pollution abatement,2011,74.58
FIN,Finland,Air pollution abatement,2012,60.08
FIN,Finland,Air pollution abatement,2013,37.33
FIN,Finland,Air pollution abatement,2014,40.17
FIN,Finland,Air pollution abatement,2015,27.67
FIN,Finland,Air pollution abatement,2016,21.33
FIN,Finland,Air pollution abatement,2017,36.67
FIN,Finland,Air pollution abatement,2018,36.67
FIN,Finland,Air pollution abatement,2019,17.0
FRA,France,Environment-related technologies,1995,405.17
FRA,France,Environment-related technologies,2000,632.68
FRA,France,Environment-related technologies,2005,889.58
FRA,France,Environment-related technologies,2010,1534.84
FRA,France,Environment-related technologies,2011,1704.22
FRA,France,Environment-related technologies,2012,1784.01
FRA,France,Environment-related technologies,2013,1712.49
FRA,France,Environment-related technologies,2014,1656.74
FRA,France,Environment-related technologies,2015,1612.48
FRA,France,Environment-related technologies,2016,1437.43
FRA,France,Environment-related technologies,2017,1541.43
FRA,France,Environment-related technologies,2018,1581.02
FRA,France,Environment-related technologies,2019,1457.01
FRA,France,Air pollution abatement,1995,85.33
FRA,France,Air pollution abatement,2000,144.37
FRA,France,Air pollution abatement,2005,277.73
FRA,France,Air pollution abatement,2010,272.08
FRA,France,Air pollution abatement,2011,299.42
FRA,France,Air pollution abatement,2012,308.65
FRA,France,Air pollution abatement,2013,309.1
FRA,France,Air pollution abatement,2014,404.08
FRA,France,Air pollution abatement,2015,298.0
FRA,France,Air pollution abatement,2016,253.5
FRA,France,Air pollution abatement,2017,257.57
FRA,France,Air pollution abatement,2018,329.33
FRA,France,Air pollution abatement,2019,192.37
DEU,Germany,Environment-related technologies,1995,1645.42
DEU,Germany,Environment-related technologies,2000,2950.07
DEU,Germany,Environment-related technologies,2005,3172.6
DEU,Germany,Environment-related technologies,2010,5088.69
DEU,Germany,Environment-related technologies,2011,5170.98
DEU,Germany,Environment-related technologies,2012,4877.52
DEU,Germany,Environment-related technologies,2013,4452.14
DEU,Germany,Environment-related technologies,2014,4403.81
DEU,Germany,Environment-related technologies,2015,4236.28
DEU,Germany,Environment-related technologies,2016,4327.14
DEU,Germany,Environment-related technologies,2017,4637.79
DEU,Germany,Environment-related technologies,2018,4657.61
DEU,Germany,Environment-related technologies,2019,3985.17
DEU,Germany,Air pollution abatement,1995,636.92
DEU,Germany,Air pollution abatement,2000,1329.57
DEU,Germany,Air pollution abatement,2005,1207.37
DEU,Germany,Air pollution abatement,2010,1294.75
DEU,Germany,Air pollution abatement,2011,1269.82
DEU,Germany,Air pollution abatement,2012,1167.53
DEU,Germany,Air pollution abatement,2013,1192.64
DEU,Germany,Air pollution abatement,2014,1452.83
DEU,Germany,Air pollution abatement,2015,1169.95
DEU,Germany,Air pollution abatement,2016,1128.6
DEU,Germany,Air pollution abatement,2017,1047.28
DEU,Germany,Air pollution abatement,2018,1342.82
DEU,Germany,Air pollution abatement,2019,682.75
GRC,Greece,Environment-related technologies,1995,11.25
GRC,Greece,Environment-related technologies,2000,8.17
GRC,Greece,Environment-related technologies,2005,29.92
GRC,Greece,Environment-related technologies,2010,29.48
GRC,Greece,Environment-related technologies,2011,36.19
GRC,Greece,Environment-related technologies,2012,22.95
GRC,Greece,Environment-related technologies,2013,30.32
GRC,Greece,Environment-related technologies,2014,20.37
GRC,Greece,Environment-related technologies,2015,16.37
GRC,Greece,Environment-related technologies,2016,23.86
GRC,Greece,Environment-related technologies,2017,20.36
GRC,Greece,Environment-related technologies,2018,23.24
GRC,Greece,Environment-related technologies,2019,13.86
GRC,Greece,Air pollution abatement,1995,3.25
GRC,Greece,Air pollution abatement,2000,3.0
GRC,Greece,Air pollution abatement,2005,3.92
GRC,Greece,Air pollution abatement,2010,1.75
GRC,Greece,Air pollution abatement,2011,0.75
GRC,Greece,Air pollution abatement,2012,0.5
GRC,Greece,Air pollution abatement,2013,3.0
GRC,Greece,Air pollution abatement,2014,1.25
GRC,Greece,Air pollution abatement,2015,0.33
GRC,Greece,Air pollution abatement,2016,2.0
GRC,Greece,Air pollution abatement,2018,7.0
HUN,Hungary,Environment-related technologies,1995,13.4
HUN,Hungary,Environment-related technologies,2000,13.33
HUN,Hungary,Environment-related technologies,2005,23.17
HUN,Hungary,Environment-related technologies,2010,36.94
HUN,Hungary,Environment-related technologies,2011,43.53
HUN,Hungary,Environment-related technologies,2012,34.12
HUN,Hungary,Environment-related technologies,2013,27.87
HUN,Hungary,Environment-related technologies,2014,25.05
HUN,Hungary,Environment-related technologies,2015,40.08
HUN,Hungary,Environment-related technologies,2016,24.67
HUN,Hungary,Environment-related technologies,2017,28.42
HUN,Hungary,Environment-related technologies,2018,28.83
HUN,Hungary,Environment-related technologies,2019,21.33
HUN,Hungary,Air pollution abatement,1995,3.2
HUN,Hungary,Air pollution abatement,2000,2.0
HUN,Hungary,Air pollution abatement,2005,4.0
HUN,Hungary,Air pollution abatement,2010,2.0
HUN,Hungary,Air pollution abatement,2011,2.33
HUN,Hungary,Air pollution abatement,2012,1.33
HUN,Hungary,Air pollution abatement,2013,2.83
HUN,Hungary,Air pollution abatement,2014,2.92
HUN,Hungary,Air pollution abatement,2015,7.08
HUN,Hungary,Air pollution abatement,2016,1.33
HUN,Hungary,Air pollution abatement,2018,5.0
ISL,Iceland,Environment-related technologies,1995,0.67
ISL,Iceland,Environment-related technologies,2000,2.5
ISL,Iceland,Environment-related technologies,2005,3.5
ISL,Iceland,Environment-related technologies,2010,4.25
ISL,Iceland,Environment-related technologies,2011,2.56
ISL,Iceland,Environment-related technologies,2012,3.62
ISL,Iceland,Environment-related technologies,2013,0.58
ISL,Iceland,Environment-related technologies,2014,3.33
ISL,Iceland,Environment-related technologies,2015,4.0
ISL,Iceland,Environment-related technologies,2016,6.17
ISL,Iceland,Environment-related technologies,2017,4.5
ISL,Iceland,Environment-related technologies,2019,4.53
ISL,Iceland,Air pollution abatement,2012,1.83
ISL,Iceland,Air pollution abatement,2014,3.0
ISL,Iceland,Air pollution abatement,2015,1.0
ISL,Iceland,Air pollution abatement,2017,3.0
ISL,Iceland,Air pollution abatement,2019,1.2
IRL,Ireland,Environment-related technologies,1995,13.0
IRL,Ireland,Environment-related technologies,2000,22.0
IRL,Ireland,Environment-related technologies,2005,26.33
IRL,Ireland,Environment-related technologies,2010,48.33
IRL,Ireland,Environment-related technologies,2011,50.7
IRL,Ireland,Environment-related technologies,2012,49.89
IRL,Ireland,Environment-related technologies,2013,47.03
IRL,Ireland,Environment-related technologies,2014,46.75
IRL,Ireland,Environment-related technologies,2015,53.08
IRL,Ireland,Environment-related technologies,2016,41.69
IRL,Ireland,Environment-related technologies,2017,38.43
IRL,Ireland,Environment-related technologies,2018,48.39
IRL,Ireland,Environment-related technologies,2019,47.36
IRL,Ireland,Air pollution abatement,1995,3.0
IRL,Ireland,Air pollution abatement,2000,2.5
IRL,Ireland,Air pollution abatement,2005,0.33
IRL,Ireland,Air pollution abatement,2010,8.17
IRL,Ireland,Air pollution abatement,2011,4.67
IRL,Ireland,Air pollution abatement,2012,1.7
IRL,Ireland,Air pollution abatement,2013,0.33
IRL,Ireland,Air pollution abatement,2014,5.0
IRL,Ireland,Air pollution abatement,2015,5.0
IRL,Ireland,Air pollution abatement,2016,3.0
IRL,Ireland,Air pollution abatement,2017,3.53
IRL,Ireland,Air pollution abatement,2018,1.83
IRL,Ireland,Air pollution abatement,2019,2.33
ITA,Italy,Environment-related technologies,1995,173.75
ITA,Italy,Environment-related technologies,2000,285.33
ITA,Italy,Environment-related technologies,2005,394.18
ITA,Italy,Environment-related technologies,2010,623.09
ITA,Italy,Environment-related technologies,2011,640.82
ITA,Italy,Environment-related technologies,2012,678.55
ITA,Italy,Environment-related technologies,2013,596.24
ITA,Italy,Environment-related technologies,2014,586.12
ITA,Italy,Environment-related technologies,2015,630.46
ITA,Italy,Environment-related technologies,2016,621.56
ITA,Italy,Environment-related technologies,2017,628.42
ITA,Italy,Environment-related technologies,2018,583.66
ITA,Italy,Environment-related technologies,2019,579.51
ITA,Italy,Air pollution abatement,1995,38.5
ITA,Italy,Air pollution abatement,2000,74.33
ITA,Italy,Air pollution abatement,2005,104.73
ITA,Italy,Air pollution abatement,2010,135.45
ITA,Italy,Air pollution abatement,2011,114.0
ITA,Italy,Air pollution abatement,2012,127.87
ITA,Italy,Air pollution abatement,2013,126.58
ITA,Italy,Air pollution abatement,2014,179.33
ITA,Italy,Air pollution abatement,2015,170.42
ITA,Italy,Air pollution abatement,2016,145.08
ITA,Italy,Air pollution abatement,2017,148.87
ITA,Italy,Air pollution abatement,2018,147.17
ITA,Italy,Air pollution abatement,2019,97.67
JPN,Japan,Environment-related technologies,1995,3324.67
JPN,Japan,Environment-related technologies,2000,5885.73
JPN,Japan,Environment-related technologies,2005,7322.5
JPN,Japan,Environment-related technologies,2010,9411.97
JPN,Japan,Environment-related technologies,2011,10529.41
JPN,Japan,Environment-related technologies,2012,10244.43
JPN,Japan,Environment-related technologies,2013,9615.37
JPN,Japan,Environment-related technologies,2014,9437.58
JPN,Japan,Environment-related technologies,2015,9321.65
JPN,Japan,Environment-related technologies,2016,9278.63
JPN,Japan,Environment-related technologies,2017,9662.75
JPN,Japan,Environment-related technologies,2018,8971.32
JPN,Japan,Environment-related technologies,2019,6962.48
JPN,Japan,Air pollution abatement,1995,1131.0
JPN,Japan,Air pollution abatement,2000,1581.5
JPN,Japan,Air pollution abatement,2005,2129.17
JPN,Japan,Air pollution abatement,2010,2240.2
JPN,Japan,Air pollution abatement,2011,1662.23
JPN,Japan,Air pollution abatement,2012,1736.42
JPN,Japan,Air pollution abatement,2013,1952.45
JPN,Japan,Air pollution abatement,2014,2649.97
JPN,Japan,Air pollution abatement,2015,2020.87
JPN,Japan,Air pollution abatement,2016,1664.2
JPN,Japan,Air pollution abatement,2017,1724.17
JPN,Japan,Air pollution abatement,2018,2111.95
JPN,Japan,Air pollution abatement,2019,1203.25
KOR,Korea,Environment-related technologies,1995,187.83
KOR,Korea,Environment-related technologies,2000,519.5
KOR,Korea,Environment-related technologies,2005,1890.43
KOR,Korea,Environment-related technologies,2010,3834.95
KOR,Korea,Environment-related technologies,2011,4104.45
KOR,Korea,Environment-related technologies,2012,4421.35
KOR,Korea,Environment-related technologies,2013,4864.3
KOR,Korea,Environment-related technologies,2014,4926.58
KOR,Korea,Environment-related technologies,2015,4684.47
KOR,Korea,Environment-related technologies,2016,5123.33
KOR,Korea,Environment-related technologies,2017,4692.59
KOR,Korea,Environment-related technologies,2018,4633.78
KOR,Korea,Environment-related technologies,2019,4480.33
KOR,Korea,Air pollution abatement,1995,47.0
KOR,Korea,Air pollution abatement,2000,85.17
KOR,Korea,Air pollution abatement,2005,242.0
KOR,Korea,Air pollution abatement,2010,379.33
KOR,Korea,Air pollution abatement,2011,344.5
KOR,Korea,Air pollution abatement,2012,345.33
KOR,Korea,Air pollution abatement,2013,371.17
KOR,Korea,Air pollution abatement,2014,633.67
KOR,Korea,Air pollution abatement,2015,624.67
KOR,Korea,Air pollution abatement,2016,647.92
KOR,Korea,Air pollution abatement,2017,472.95
KOR,Korea,Air pollution abatement,2018,562.0
KOR,Korea,Air pollution abatement,2019,496.83
LUX,Luxembourg,Environment-related technologies,1995,5.5
LUX,Luxembourg,Environment-related technologies,2000,16.58
LUX,Luxembourg,Environment-related technologies,2005,14.33
LUX,Luxembourg,Environment-related technologies,2010,14.33
LUX,Luxembourg,Environment-related technologies,2011,23.75
LUX,Luxembourg,Environment-related technologies,2012,14.42
LUX,Luxembourg,Environment-related technologies,2013,8.75
LUX,Luxembourg,Environment-related technologies,2014,14.5
LUX,Luxembourg,Environment-related technologies,2015,12.17
LUX,Luxembourg,Environment-related technologies,2016,14.5
LUX,Luxembourg,Environment-related technologies,2017,9.62
LUX,Luxembourg,Environment-related technologies,2018,14.7
LUX,Luxembourg,Environment-related technologies,2019,14.67
LUX,Luxembourg,Air pollution abatement,2000,10.5
LUX,Luxembourg,Air pollution abatement,2005,6.33
LUX,Luxembourg,Air pollution abatement,2010,5.33
LUX,Luxembourg,Air pollution abatement,2011,5.0
LUX,Luxembourg,Air pollution abatement,2012,2.17
LUX,Luxembourg,Air pollution abatement,2013,4.17
LUX,Luxembourg,Air pollution abatement,2014,7.33
LUX,Luxembourg,Air pollution abatement,2015,2.08
LUX,Luxembourg,Air pollution abatement,2016,8.0
LUX,Luxembourg,Air pollution abatement,2017,3.5
LUX,Luxembourg,Air pollution abatement,2018,4.5
LUX,Luxembourg,Air pollution abatement,2019,2.83
MEX,Mexico,Environment-related technologies,1995,3.33
MEX,Mexico,Environment-related technologies,2000,7.0
MEX,Mexico,Environment-related technologies,2005,23.37
MEX,Mexico,Environment-related technologies,2010,47.84
MEX,Mexico,Environment-related technologies,2011,50.62
MEX,Mexico,Environment-related technologies,2012,46.49
MEX,Mexico,Environment-related technologies,2013,36.33
MEX,Mexico,Environment-related technologies,2014,56.33
MEX,Mexico,Environment-related technologies,2015,38.26
MEX,Mexico,Environment-related technologies,2016,49.83
MEX,Mexico,Environment-related technologies,2017,57.0
MEX,Mexico,Environment-related technologies,2018,48.23
MEX,Mexico,Environment-related technologies,2019,30.4
MEX,Mexico,Air pollution abatement,1995,1.0
MEX,Mexico,Air pollution abatement,2000,1.5
MEX,Mexico,Air pollution abatement,2005,2.75
MEX,Mexico,Air pollution abatement,2010,11.37
MEX,Mexico,Air pollution abatement,2011,10.67
MEX,Mexico,Air pollution abatement,2012,4.0
MEX,Mexico,Air pollution abatement,2013,5.5
MEX,Mexico,Air pollution abatement,2014,7.17
MEX,Mexico,Air pollution abatement,2015,8.5
MEX,Mexico,Air pollution abatement,2016,5.5
MEX,Mexico,Air pollution abatement,2017,11.0
MEX,Mexico,Air pollution abatement,2018,10.0
MEX,Mexico,Air pollution abatement,2019,3.67
NLD,Netherlands,Environment-related technologies,1995,132.9
NLD,Netherlands,Environment-related technologies,2000,234.73
NLD,Netherlands,Environment-related technologies,2005,287.07
NLD,Netherlands,Environment-related technologies,2010,452.59
NLD,Netherlands,Environment-related technologies,2011,538.2
NLD,Netherlands,Environment-related technologies,2012,515.32
NLD,Netherlands,Environment-related technologies,2013,492.0
NLD,Netherlands,Environment-related technologies,2014,471.15
NLD,Netherlands,Environment-related technologies,2015,505.3
NLD,Netherlands,Environment-related technologies,2016,516.7
NLD,Netherlands,Environment-related technologies,2017,472.5
NLD,Netherlands,Environment-related technologies,2018,453.83
NLD,Netherlands,Environment-related technologies,2019,425.52
NLD,Netherlands,Air pollution abatement,1995,32.03
NLD,Netherlands,Air pollution abatement,2000,28.23
NLD,Netherlands,Air pollution abatement,2005,40.95
NLD,Netherlands,Air pollution abatement,2010,49.15
NLD,Netherlands,Air pollution abatement,2011,56.5
NLD,Netherlands,Air pollution abatement,2012,50.33
NLD,Netherlands,Air pollution abatement,2013,43.17
NLD,Netherlands,Air pollution abatement,2014,64.92
NLD,Netherlands,Air pollution abatement,2015,87.2
NLD,Netherlands,Air pollution abatement,2016,71.7
NLD,Netherlands,Air pollution abatement,2017,53.45
NLD,Netherlands,Air pollution abatement,2018,58.83
NLD,Netherlands,Air pollution abatement,2019,45.0
NZL,New Zealand,Environment-related technologies,1995,26.5
NZL,New Zealand,Environment-related technologies,2000,19.83
NZL,New Zealand,Environment-related technologies,2005,34.53
NZL,New Zealand,Environment-related technologies,2010,53.63
NZL,New Zealand,Environment-related technologies,2011,62.03
NZL,New Zealand,Environment-related technologies,2012,59.67
NZL,New Zealand,Environment-related technologies,2013,53.67
NZL,New Zealand,Environment-related technologies,2014,82.23
NZL,New Zealand,Environment-related technologies,2015,49.17
NZL,New Zealand,Environment-related technologies,2016,29.5
NZL,New Zealand,Environment-related technologies,2017,45.5
NZL,New Zealand,Environment-related technologies,2018,22.1
NZL,New Zealand,Environment-related technologies,2019,39.23
NZL,New Zealand,Air pollution abatement,2000,2.5
NZL,New Zealand,Air pollution abatement,2005,2.2
NZL,New Zealand,Air pollution abatement,2010,2.25
NZL,New Zealand,Air pollution abatement,2011,3.0
NZL,New Zealand,Air pollution abatement,2012,5.0
NZL,New Zealand,Air pollution abatement,2013,4.0
NZL,New Zealand,Air pollution abatement,2014,1.25
NZL,New Zealand,Air pollution abatement,2015,3.5
NZL,New Zealand,Air pollution abatement,2016,2.5
NZL,New Zealand,Air pollution abatement,2017,3.0
NZL,New Zealand,Air pollution abatement,2018,3.0
NOR,Norway,Environment-related technologies,1995,29.5
NOR,Norway,Environment-related technologies,2000,59.67
NOR,Norway,Environment-related technologies,2005,86.9
NOR,Norway,Environment-related technologies,2010,129.95
NOR,Norway,Environment-related technologies,2011,133.95
NOR,Norway,Environment-related technologies,2012,123.38
NOR,Norway,Environment-related technologies,2013,100.83
NOR,Norway,Environment-related technologies,2014,68.92
NOR,Norway,Environment-related technologies,2015,89.63
NOR,Norway,Environment-related technologies,2016,85.07
NOR,Norway,Environment-related technologies,2017,108.42
NOR,Norway,Environment-related technologies,2018,120.08
NOR,Norway,Environment-related technologies,2019,113.37
NOR,Norway,Air pollution abatement,1995,3.0
NOR,Norway,Air pollution abatement,2000,8.33
NOR,Norway,Air pollution abatement,2005,12.33
NOR,Norway,Air pollution abatement,2010,21.0
NOR,Norway,Air pollution abatement,2011,17.17
NOR,Norway,Air pollution abatement,2012,16.08
NOR,Norway,Air pollution abatement,2013,15.0
NOR,Norway,Air pollution abatement,2014,7.33
NOR,Norway,Air pollution abatement,2015,6.0
NOR,Norway,Air pollution abatement,2016,10.0
NOR,Norway,Air pollution abatement,2017,12.67
NOR,Norway,Air pollution abatement,2018,12.0
NOR,Norway,Air pollution abatement,2019,8.83
POL,Poland,Environment-related technologies,1995,1.0
POL,Poland,Environment-related technologies,2000,13.17
POL,Poland,Environment-related technologies,2005,21.9
POL,Poland,Environment-related technologies,2010,59.28
POL,Poland,Environment-related technologies,2011,68.88
POL,Poland,Environment-related technologies,2012,127.22
POL,Poland,Environment-related technologies,2013,95.75
POL,Poland,Environment-related technologies,2014,110.2
POL,Poland,Environment-related technologies,2015,120.25
POL,Poland,Environment-related technologies,2016,75.52
POL,Poland,Environment-related technologies,2017,104.63
POL,Poland,Environment-related technologies,2018,59.9
POL,Poland,Environment-related technologies,2019,61.75
POL,Poland,Air pollution abatement,1995,0.33
POL,Poland,Air pollution abatement,2000,2.0
POL,Poland,Air pollution abatement,2005,3.2
POL,Poland,Air pollution abatement,2010,9.53
POL,Poland,Air pollution abatement,2011,11.83
POL,Poland,Air pollution abatement,2012,27.42
POL,Poland,Air pollution abatement,2013,14.5
POL,Poland,Air pollution abatement,2014,20.92
POL,Poland,Air pollution abatement,2015,14.08
POL,Poland,Air pollution abatement,2016,10.83
POL,Poland,Air pollution abatement,2017,18.87
POL,Poland,Air pollution abatement,2018,5.33
POL,Poland,Air pollution abatement,2019,5.83
PRT,Portugal,Environment-related technologies,1995,2.83
PRT,Portugal,Environment-related technologies,2000,7.17
PRT,Portugal,Environment-related technologies,2005,18.42
PRT,Portugal,Environment-related technologies,2010,33.85
PRT,Portugal,Environment-related technologies,2011,29.51
PRT,Portugal,Environment-related technologies,2012,30.03
PRT,Portugal,Environment-related technologies,2013,25.58
PRT,Portugal,Environment-related technologies,2014,15.28
