The Energy Technology RD&D Budgets database and an overview of the database are available here: https://www.iea.org/data-and-statistics/data-product/energy-technology-rd-and-d-budget-database-2
If you have any question about the data please contact RDD@iea.org
Please note that your use of IEA data is subject to the Terms and Conditions found here: https://www.iea.org/terms
""
PRODUCT,COUNTRY,TIME,VALUE
RDD1000GDP,ESTONIA,2001,..
RDD1000GDP,ESTONIA,2002,..
RDD1000GDP,ESTONIA,2003,..
RDD1000GDP,ESTONIA,2004,..
RDD1000GDP,ESTONIA,2005,..
RDD1000GDP,ESTONIA,2006,..
RDD1000GDP,ESTONIA,2007,..
RDD1000GDP,ESTONIA,2008,..
RDD1000GDP,ESTONIA,2009,..
RDD1000GDP,ESTONIA,2010,..
RDD1000GDP,FINLAND,1990,0.357
RDD1000GDP,FINLAND,1991,0.415
RDD1000GDP,FINLAND,1992,0.451
RDD1000GDP,FINLAND,1993,0.464
RDD1000GDP,FINLAND,1994,0.531
RDD1000GDP,FINLAND,1995,0.590
RDD1000GDP,FINLAND,1996,0.550
RDD1000GDP,FINLAND,1997,0.716
RDD1000GDP,FINLAND,1998,0.680
RDD1000GDP,FINLAND,1999,0.614
RDD1000GDP,FINLAND,2000,0.480
RDD1000GDP,FINLAND,2001,0.433
RDD1000GDP,FINLAND,2002,0.475
RDD1000GDP,FINLAND,2003,0.389
RDD1000GDP,FINLAND,2004,0.504
RDD1000GDP,FINLAND,2005,0.478
RDD1000GDP,FINLAND,2006,0.584
RDD1000GDP,FINLAND,2007,0.764
RDD1000GDP,FINLAND,2008,0.869
RDD1000GDP,FINLAND,2009,1.285
RDD1000GDP,FINLAND,2010,1.430
RDD1000GDP,FINLAND,2011,1.286
RDD1000GDP,FINLAND,2012,1.157
RDD1000GDP,FINLAND,2013,1.144
RDD1000GDP,FINLAND,2014,1.052
RDD1000GDP,FINLAND,2015,1.130
RDD1000GDP,FINLAND,2016,0.874
RDD1000GDP,FINLAND,2017,0.956
RDD1000GDP,FINLAND,2018,0.818
RDD1000GDP,FINLAND,2019,0.661
RDD1000GDP,FINLAND,2020,0.616
RDD1000GDP,FINLAND,1974,..
RDD1000GDP,FINLAND,1975,..
RDD1000GDP,FINLAND,1976,..
RDD1000GDP,FINLAND,1977,..
RDD1000GDP,FINLAND,1978,..
RDD1000GDP,FINLAND,1979,..
RDD1000GDP,FINLAND,1980,..
RDD1000GDP,FINLAND,1981,..
RDD1000GDP,FINLAND,1982,..
RDD1000GDP,FINLAND,1983,..
RDD1000GDP,FINLAND,1984,..
RDD1000GDP,FINLAND,1985,..
RDD1000GDP,FINLAND,1986,..
RDD1000GDP,FINLAND,1987,..
RDD1000GDP,FINLAND,1988,..
RDD1000GDP,FINLAND,1989,..
RDD1000GDP,FINLAND,2021,..
RDD1000GDP,FRANCE,1985,0.819
RDD1000GDP,FRANCE,1986,0.697
RDD1000GDP,FRANCE,1987,0.634
RDD1000GDP,FRANCE,1988,0.540
RDD1000GDP,FRANCE,1989,0.476
RDD1000GDP,FRANCE,1990,0.437
RDD1000GDP,FRANCE,1991,0.427
RDD1000GDP,FRANCE,1992,0.393
RDD1000GDP,FRANCE,1993,0.393
RDD1000GDP,FRANCE,1994,0.360
RDD1000GDP,FRANCE,1995,0.412
RDD1000GDP,FRANCE,1996,0.386
RDD1000GDP,FRANCE,1997,0.378
RDD1000GDP,FRANCE,1998,0.390
RDD1000GDP,FRANCE,1999,0.440
RDD1000GDP,FRANCE,2000,0.397
RDD1000GDP,FRANCE,2001,0.287
RDD1000GDP,FRANCE,2002,0.620
RDD1000GDP,FRANCE,2003,0.614
RDD1000GDP,FRANCE,2004,0.580
RDD1000GDP,FRANCE,2005,0.593
RDD1000GDP,FRANCE,2006,0.582
RDD1000GDP,FRANCE,2007,0.606
RDD1000GDP,FRANCE,2008,0.659
RDD1000GDP,FRANCE,2009,0.758
RDD1000GDP,FRANCE,2010,0.696
RDD1000GDP,FRANCE,2011,0.731
RDD1000GDP,FRANCE,2012,0.723
RDD1000GDP,FRANCE,2013,0.742
RDD1000GDP,FRANCE,2014,0.701
RDD1000GDP,FRANCE,2015,0.658
RDD1000GDP,FRANCE,2016,0.615
RDD1000GDP,FRANCE,2017,0.580
RDD1000GDP,FRANCE,2018,0.584
RDD1000GDP,FRANCE,2019,0.579
RDD1000GDP,FRANCE,2020,0.698
RDD1000GDP,FRANCE,2021,0.734
RDD1000GDP,FRANCE,1974,..
RDD1000GDP,FRANCE,1975,..
RDD1000GDP,FRANCE,1976,..
RDD1000GDP,FRANCE,1977,..
RDD1000GDP,FRANCE,1978,..
RDD1000GDP,FRANCE,1979,..
RDD1000GDP,FRANCE,1980,..
RDD1000GDP,FRANCE,1981,..
RDD1000GDP,FRANCE,1982,..
RDD1000GDP,FRANCE,1983,..
RDD1000GDP,FRANCE,1984,..
RDD1000GDP,GERMANY,1974,0.913
RDD1000GDP,GERMANY,1975,1.102
RDD1000GDP,GERMANY,1976,1.016
RDD1000GDP,GERMANY,1977,1.119
RDD1000GDP,GERMANY,1978,1.172
RDD1000GDP,GERMANY,1979,1.224
RDD1000GDP,GERMANY,1980,1.220
RDD1000GDP,GERMANY,1981,1.298
RDD1000GDP,GERMANY,1982,1.657
RDD1000GDP,GERMANY,1983,0.992
RDD1000GDP,GERMANY,1984,0.945
RDD1000GDP,GERMANY,1985,0.880
RDD1000GDP,GERMANY,1986,0.628
RDD1000GDP,GERMANY,1987,0.477
RDD1000GDP,GERMANY,1988,0.406
RDD1000GDP,GERMANY,1989,0.338
RDD1000GDP,GERMANY,1990,0.332
RDD1000GDP,GERMANY,1991,0.278
RDD1000GDP,GERMANY,1992,0.213
RDD1000GDP,GERMANY,1993,0.209
RDD1000GDP,GERMANY,1994,0.164
RDD1000GDP,GERMANY,1995,0.138
RDD1000GDP,GERMANY,1996,0.148
RDD1000GDP,GERMANY,1997,0.132
RDD1000GDP,GERMANY,1998,0.139
RDD1000GDP,GERMANY,1999,0.091
RDD1000GDP,GERMANY,2000,0.127
RDD1000GDP,GERMANY,2001,0.135
RDD1000GDP,GERMANY,2002,0.120
RDD1000GDP,GERMANY,2003,0.171
RDD1000GDP,GERMANY,2004,0.163
RDD1000GDP,GERMANY,2005,0.171
RDD1000GDP,GERMANY,2006,0.166
RDD1000GDP,GERMANY,2007,0.166
RDD1000GDP,GERMANY,2008,0.187
RDD1000GDP,GERMANY,2009,0.244
RDD1000GDP,GERMANY,2010,0.241
RDD1000GDP,GERMANY,2011,0.265
RDD1000GDP,GERMANY,2012,0.257
RDD1000GDP,GERMANY,2013,0.288
RDD1000GDP,GERMANY,2014,0.289
RDD1000GDP,GERMANY,2015,0.300
RDD1000GDP,GERMANY,2016,0.298
RDD1000GDP,GERMANY,2017,0.327
RDD1000GDP,GERMANY,2018,0.313
RDD1000GDP,GERMANY,2019,0.331
RDD1000GDP,GERMANY,2020,0.368
RDD1000GDP,GERMANY,2021,0.379
RDD1000GDP,GREECE,1977,0.024
RDD1000GDP,GREECE,1978,0.052
RDD1000GDP,GREECE,1979,0.100
RDD1000GDP,GREECE,1980,0.702
RDD1000GDP,GREECE,1981,0.589
RDD1000GDP,GREECE,1982,0.134
RDD1000GDP,GREECE,1983,0.125
RDD1000GDP,GREECE,1984,0.152
RDD1000GDP,GREECE,1985,0.196
RDD1000GDP,GREECE,1986,0.174
RDD1000GDP,GREECE,1987,0.134
RDD1000GDP,GREECE,1988,0.218
RDD1000GDP,GREECE,1989,0.121
RDD1000GDP,GREECE,1990,0.097
RDD1000GDP,GREECE,1991,0.083
RDD1000GDP,GREECE,1992,0.055
RDD1000GDP,GREECE,1993,0.045
RDD1000GDP,GREECE,1994,0.041
RDD1000GDP,GREECE,1995,0.067
RDD1000GDP,GREECE,1996,0.074
RDD1000GDP,GREECE,1997,0.125
RDD1000GDP,GREECE,2000,0.041
RDD1000GDP,GREECE,2001,0.046
RDD1000GDP,GREECE,2002,0.055
RDD1000GDP,GREECE,2005,0.067
RDD1000GDP,GREECE,2006,0.066
RDD1000GDP,GREECE,2007,0.063
RDD1000GDP,GREECE,2008,0.068
RDD1000GDP,GREECE,2009,0.067
RDD1000GDP,GREECE,2010,0.033
RDD1000GDP,GREECE,2011,0.031
RDD1000GDP,GREECE,1974,..
RDD1000GDP,GREECE,1975,..
RDD1000GDP,GREECE,1976,..
RDD1000GDP,GREECE,1998,..
RDD1000GDP,GREECE,1999,..
RDD1000GDP,GREECE,2003,..
RDD1000GDP,GREECE,2004,..
RDD1000GDP,GREECE,2012,..
RDD1000GDP,GREECE,2013,..
RDD1000GDP,GREECE,2014,..
RDD1000GDP,GREECE,2015,..
RDD1000GDP,GREECE,2016,..
RDD1000GDP,GREECE,2017,..
RDD1000GDP,GREECE,2018,..
RDD1000GDP,GREECE,2019,..
RDD1000GDP,GREECE,2020,..
RDD1000GDP,GREECE,2021,..
RDD1000GDP,HUNGARY,2000,0.044
RDD1000GDP,HUNGARY,2001,0.037
RDD1000GDP,HUNGARY,2002,0.045
RDD1000GDP,HUNGARY,2003,0.036
RDD1000GDP,HUNGARY,2004,0.039
RDD1000GDP,HUNGARY,2005,0.408
RDD1000GDP,HUNGARY,2006,0.481
RDD1000GDP,HUNGARY,2007,0.612
RDD1000GDP,HUNGARY,2008,0.860
RDD1000GDP,HUNGARY,2009,0.888
RDD1000GDP,HUNGARY,2010,0.891
RDD1000GDP,HUNGARY,2011,0.900
RDD1000GDP,HUNGARY,2012,0.872
RDD1000GDP,HUNGARY,2013,0.094
RDD1000GDP,HUNGARY,2014,0.064
RDD1000GDP,HUNGARY,2015,0.084
RDD1000GDP,HUNGARY,2016,0.231
RDD1000GDP,HUNGARY,2017,0.530
RDD1000GDP,HUNGARY,2018,0.094
RDD1000GDP,HUNGARY,2019,0.043
RDD1000GDP,HUNGARY,2020,0.118
RDD1000GDP,HUNGARY,2021,0.420
RDD1000GDP,HUNGARY,1974,..
RDD1000GDP,HUNGARY,1975,..
RDD1000GDP,HUNGARY,1976,..
RDD1000GDP,HUNGARY,1977,..
RDD1000GDP,HUNGARY,1978,..
RDD1000GDP,HUNGARY,1979,..
RDD1000GDP,HUNGARY,1980,..
RDD1000GDP,HUNGARY,1981,..
RDD1000GDP,HUNGARY,1982,..
RDD1000GDP,HUNGARY,1983,..
RDD1000GDP,HUNGARY,1984,..
RDD1000GDP,HUNGARY,1985,..
RDD1000GDP,HUNGARY,1986,..
RDD1000GDP,HUNGARY,1987,..
RDD1000GDP,HUNGARY,1988,..
RDD1000GDP,HUNGARY,1989,..
RDD1000GDP,HUNGARY,1990,..
RDD1000GDP,HUNGARY,1991,..
RDD1000GDP,HUNGARY,1992,..
RDD1000GDP,HUNGARY,1993,..
RDD1000GDP,HUNGARY,1994,..
RDD1000GDP,HUNGARY,1995,..
RDD1000GDP,HUNGARY,1996,..
RDD1000GDP,HUNGARY,1997,..
RDD1000GDP,HUNGARY,1998,..
RDD1000GDP,HUNGARY,1999,..
RDD1000GDP,IRELAND,1974,0.084
RDD1000GDP,IRELAND,1975,0.095
RDD1000GDP,IRELAND,1976,0.120
RDD1000GDP,IRELAND,1977,0.145
RDD1000GDP,IRELAND,1978,0.174
RDD1000GDP,IRELAND,1979,0.265
RDD1000GDP,IRELAND,1980,0.308
RDD1000GDP,IRELAND,1981,0.327
RDD1000GDP,IRELAND,1982,0.278
RDD1000GDP,IRELAND,1983,0.170
RDD1000GDP,IRELAND,1984,0.072
RDD1000GDP,IRELAND,1985,0.102
RDD1000GDP,IRELAND,1986,0.039
RDD1000GDP,IRELAND,1987,0.061
RDD1000GDP,IRELAND,1988,0.102
RDD1000GDP,IRELAND,1990,0.024
RDD1000GDP,IRELAND,2002,0.028
RDD1000GDP,IRELAND,2003,0.048
RDD1000GDP,IRELAND,2004,0.064
RDD1000GDP,IRELAND,2005,0.075
RDD1000GDP,IRELAND,2006,0.154
RDD1000GDP,IRELAND,2007,0.222
RDD1000GDP,IRELAND,2008,0.320
RDD1000GDP,IRELAND,2009,0.334
RDD1000GDP,IRELAND,2010,0.238
RDD1000GDP,IRELAND,2011,0.121
RDD1000GDP,IRELAND,2012,0.203
RDD1000GDP,IRELAND,2013,0.158
RDD1000GDP,IRELAND,2014,0.151
RDD1000GDP,IRELAND,2015,0.230
RDD1000GDP,IRELAND,2016,0.067
RDD1000GDP,IRELAND,2017,0.066
RDD1000GDP,IRELAND,2018,0.060
RDD1000GDP,IRELAND,2019,0.073
RDD1000GDP,IRELAND,2020,0.060
RDD1000GDP,IRELAND,2021,0.056
RDD1000GDP,IRELAND,1989,..
RDD1000GDP,IRELAND,1991,..
RDD1000GDP,IRELAND,1992,..
RDD1000GDP,IRELAND,1993,..
RDD1000GDP,IRELAND,1994,..
RDD1000GDP,IRELAND,1995,..
RDD1000GDP,IRELAND,1996,..
RDD1000GDP,IRELAND,1997,..
RDD1000GDP,IRELAND,1998,..
RDD1000GDP,IRELAND,1999,..
RDD1000GDP,IRELAND,2000,..
RDD1000GDP,IRELAND,2001,..
RDD1000GDP,ITALY,1977,0.552
RDD1000GDP,ITALY,1978,0.555
RDD1000GDP,ITALY,1979,0.695
RDD1000GDP,ITALY,1980,0.695
RDD1000GDP,ITALY,1981,1.162
RDD1000GDP,ITALY,1982,0.888
